NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,COR_RACA,NACIONALIDADE,ST_CONCLUSAO,ANO_CONCLUSAO,TP_ESCOLA,TP_ENSINO,MUNICIPIO_ESC,UF_ESC,DEPENDENCIA_ADM_ESC,LOCALIZACAO_ESC,SIT_FUNC_ESC,MUNICIPIO_PROVA,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,LINGUA,COMP1_REDACAO,COMP2_REDACAO,COMP3_REDACAO,COMP4_REDACAO,COMP5_REDACAO,NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210053252933,2,F,1,parda,brasileiro,2,0,publica,1.0,,,,,,Santana,416.4,524.4,425.9,492.7,ingles,100.0,180.0,140.0,160.0,140.0,720.0,E,E,C,B,4.0,C,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,A,B,B
210051770725,9,M,1,parda,brasileiro,1,7,nao_respondeu,,,,,,,Macapá,394.7,608.8,519.3,495.0,espanhol,140.0,180.0,140.0,140.0,120.0,720.0,E,E,F,F,12.0,H,A,C,D,C,A,C,A,B,A,A,A,A,C,A,A,B,A,A,B
210052444280,4,F,1,parda,brasileiro,1,3,nao_respondeu,,,,,,,Macapá,470.5,561.7,482.8,584.6,espanhol,100.0,200.0,120.0,140.0,160.0,720.0,B,E,A,A,6.0,B,A,B,E,A,A,A,B,B,A,A,A,A,A,B,A,E,A,A,B
210052852827,6,M,1,parda,brasileiro,1,3,nao_respondeu,,,,,,,Porto Grande,553.4,563.9,518.6,501.1,espanhol,140.0,160.0,160.0,180.0,180.0,820.0,H,H,D,F,5.0,B,A,B,D,A,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210052183898,9,F,0,parda,brasileiro,1,0,nao_respondeu,,,,,,,Macapá,414.9,466.9,345.2,402.9,espanhol,100.0,100.0,100.0,120.0,40.0,460.0,B,B,B,B,6.0,B,A,B,D,A,B,B,A,B,A,A,A,A,B,A,A,D,A,A,B
210051373865,4,F,1,parda,naturalizado,1,2,nao_respondeu,,,,,,,Laranjal do Jari,437.9,541.6,530.1,387.3,espanhol,120.0,200.0,120.0,140.0,120.0,700.0,D,C,B,F,3.0,C,A,B,C,B,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
210052687594,4,F,1,nao_declarado,brasileiro,2,0,publica,1.0,,,,,,Macapá,524.1,537.4,545.2,444.5,espanhol,120.0,120.0,120.0,120.0,40.0,520.0,E,E,C,B,6.0,B,A,C,C,A,A,B,B,B,A,A,A,A,B,A,A,C,A,A,B
210051540915,13,F,2,parda,brasileiro,1,0,nao_respondeu,,,,,,,Santana,432.9,349.5,365.1,376.0,ingles,40.0,40.0,40.0,60.0,0.0,180.0,A,A,A,A,6.0,B,A,A,C,A,A,A,B,B,A,A,A,A,B,A,A,B,A,A,A
210053236973,5,F,1,parda,brasileiro,1,3,nao_respondeu,,,,,,,Macapá,544.4,629.1,564.5,570.2,espanhol,160.0,200.0,160.0,140.0,100.0,760.0,E,E,D,D,3.0,C,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,D,A,B,B
210052007222,2,M,1,parda,brasileiro,2,0,publica,1.0,,,,,,Macapá,591.6,602.7,595.2,499.3,espanhol,160.0,200.0,160.0,200.0,140.0,860.0,A,E,B,B,3.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210051206912,6,F,1,parda,naturalizado,1,4,nao_respondeu,,,,,,,Macapá,433.6,384.6,474.9,395.2,espanhol,80.0,120.0,80.0,100.0,100.0,480.0,D,D,C,A,1.0,A,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
210051173960,2,F,1,amarela,brasileiro,2,0,publica,1.0,Oiapoque,AP,2.0,1.0,1.0,Oiapoque,473.0,507.9,496.4,600.4,espanhol,100.0,120.0,100.0,120.0,120.0,560.0,H,D,F,B,3.0,C,A,B,B,A,A,B,A,B,A,A,A,A,B,B,A,D,A,A,B
210054122595,4,M,1,parda,brasileiro,1,2,nao_respondeu,,,,,,,Santana,367.9,442.7,348.5,468.2,ingles,60.0,120.0,100.0,80.0,80.0,440.0,C,E,B,B,6.0,B,A,A,C,A,A,A,B,B,A,A,A,A,B,A,A,B,A,A,B
210053686356,3,F,1,preta,brasileiro,2,0,publica,1.0,,,,,,Porto Grande,389.2,444.5,380.9,477.8,espanhol,120.0,120.0,100.0,100.0,80.0,520.0,E,E,B,B,6.0,C,A,B,C,B,A,B,B,B,A,A,A,A,B,A,A,C,A,A,B
210053688481,3,F,1,parda,brasileiro,2,0,publica,1.0,Macapá,AP,2.0,1.0,1.0,Macapá,436.5,554.4,534.0,410.0,ingles,160.0,180.0,120.0,120.0,100.0,680.0,C,E,C,B,5.0,B,A,C,D,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
210054117999,3,F,1,branca,brasileiro,2,0,publica,1.0,,,,,,Macapá,446.2,373.5,345.1,395.4,espanhol,120.0,200.0,120.0,160.0,180.0,780.0,H,E,C,F,6.0,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,E,A,A,B
210053224920,3,F,3,amarela,brasileiro,1,1,nao_respondeu,,,,,,,Oiapoque,488.0,485.7,489.9,467.2,espanhol,100.0,120.0,120.0,120.0,60.0,520.0,C,B,F,B,4.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,E,A,A,A
210052631786,3,F,1,branca,naturalizado,2,0,publica,1.0,Macapá,AP,2.0,1.0,1.0,Macapá,467.2,511.4,448.9,565.1,espanhol,140.0,120.0,120.0,120.0,160.0,660.0,G,E,B,C,5.0,C,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,D,A,A,B
210051518821,13,M,1,branca,brasileiro,1,15,nao_respondeu,,,,,,,Macapá,453.1,436.2,412.2,372.2,espanhol,140.0,120.0,80.0,120.0,120.0,580.0,B,A,A,A,2.0,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
210054044288,11,F,1,branca,brasileiro,1,10,nao_respondeu,,,,,,,Macapá,494.6,494.3,458.0,441.8,espanhol,120.0,120.0,100.0,120.0,120.0,580.0,H,E,C,F,7.0,C,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,B,A,B
210052016786,4,M,1,branca,brasileiro,1,1,nao_respondeu,,,,,,,Macapá,421.5,531.0,459.6,547.0,espanhol,120.0,120.0,100.0,100.0,100.0,540.0,E,F,B,B,3.0,C,A,B,B,A,A,B,A,B,A,B,B,A,B,A,A,D,B,A,B
210052920849,5,F,1,branca,brasileiro,1,3,nao_respondeu,,,,,,,Macapá,620.1,698.4,667.3,749.6,ingles,180.0,200.0,180.0,200.0,200.0,960.0,G,G,D,D,3.0,N,D,E,D,B,A,B,B,B,A,B,B,B,D,A,B,D,A,B,B
210051266065,3,F,1,branca,brasileiro,1,1,nao_respondeu,,,,,,,Macapá,508.9,494.4,411.4,366.3,espanhol,120.0,120.0,120.0,120.0,0.0,480.0,E,E,D,D,4.0,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,B
