TALHER,PRATO,TIGELA,COPO,XICARA,VASILHA-POTE,TAMPA,PANELA,OUTRO,DIA_SEM,DATA
27,4,7,5,8,5,5,7,9,seg,2023-04-03
18,7,8,2,5,1,5,6,5,ter,2023-04-04
20,5,8,0,4,4,5,6,2,qua,2023-04-05
18,5,7,0,5,1,3,5,4,qui,2023-04-06
13,4,6,1,4,2,4,5,0,sab,2023-04-08
18,6,5,4,4,5,3,3,4,ter,2023-04-11
20,5,11,2,4,3,2,4,4,qua,2023-04-12
8,3,4,2,3,1,5,2,3,qui,2023-04-13
21,7,7,1,5,5,4,4,4,sex,2023-04-14
17,3,2,7,5,5,3,4,3,ter,2023-04-18
13,4,3,1,4,1,2,2,2,qua,2023-04-19
20,4,9,4,5,2,4,2,3,qui,2023-04-20
17,6,5,5,5,2,5,7,4,sex,2023-04-21
22,6,5,4,3,4,2,2,6,seg,2023-04-24
12,5,6,0,4,0,5,6,4,ter,2023-04-25
9,3,3,3,3,2,1,3,3,qui,2023-04-27
20,6,8,3,5,2,5,7,3,sex,2023-04-28
