INSCRICAO;FAIXA_ETARIA;SEXO;ESTADO_CIVIL;COR_RACA;NACIONALIDADE;ESCOLA;ENSINO;MUNICIPIO_ESC;UF_ESC;DEPENDENCIA_ADM_ESC;LOCALIZACAO_ESC;SIT_FUNC_ESC;MUNICIPIO_PROVA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;LINGUA;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO
210059587847;19 anos;F;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;522.7;544.6;528.5;432.2;Espanhol;160.0;180.0;180.0;160.0;200.0;880.0
210059388096;19 anos;M;1;Preta;Brasileiro(a);Não respondeu;;;;;;;Macapá;539.4;551.7;570.4;420.7;Espanhol;120.0;140.0;140.0;120.0;40.0;560.0
210059982331;26-30 anos;F;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Santana;393.0;501.7;511.6;349.0;Espanhol;100.0;120.0;120.0;120.0;60.0;520.0
210058941508;21 anos;F;1;Preta;Brasileiro(a);Não respondeu;;;;;;;Macapá;484.9;504.8;503.4;445.7;Espanhol;140.0;180.0;160.0;160.0;120.0;760.0
210059855130;17 anos;M;1;Parda;Brasileiro(a);Pública;Regular;Santana;AP;Estadual;Urbana;Ativa;Santana;502.2;516.9;474.3;590.9;Espanhol;160.0;180.0;160.0;160.0;160.0;820.0
210059527742;17 anos;M;1;Parda;Brasileiro(a);Pública;Regular;Santana;AP;Estadual;Urbana;Ativa;Santana;522.6;681.3;592.9;566.4;Inglês;160.0;180.0;160.0;160.0;180.0;840.0
210061244815;25 anos;M;1;Parda;Naturalizado(a);Não respondeu;;;;;;;Macapá;398.9;503.3;534.1;678.2;Inglês;120.0;100.0;100.0;120.0;80.0;520.0
210059260086;18 anos;F;1;Parda;Brasileiro(a);Pública;Regular;;;;;;Macapá;440.2;518.2;545.7;569.6;Espanhol;140.0;180.0;140.0;160.0;160.0;780.0
210060450381;18 anos;M;1;Branca;Brasileiro(a);Pública;Regular;;;;;;Macapá;515.5;621.3;520.6;557.6;Inglês;120.0;160.0;140.0;140.0;160.0;720.0
210060450378;19 anos;M;1;Branca;Brasileiro(a);Pública;Regular;;;;;;Macapá;500.2;575.3;528.5;594.4;Inglês;160.0;200.0;160.0;200.0;200.0;920.0
210060811502;19 anos;F;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;541.1;523.1;562.9;413.2;Espanhol;120.0;200.0;140.0;140.0;200.0;800.0
210060000671;17 anos;F;1;Preta;Brasileiro(a);Pública;Regular;;;;;;Macapá;494.4;572.1;568.6;415.2;Espanhol;120.0;160.0;120.0;120.0;120.0;640.0
210058405071;20 anos;F;1;Preta;Brasileiro(a);Pública;;;;;;;Mazagão;460.4;497.8;427.0;378.2;Espanhol;120.0;120.0;120.0;120.0;120.0;600.0
