Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;DF;BRASILIA;AUTO POSTO CAPITAL LTDA.; 08.978.109/0001-00;LOCALIDADE CNL 01 LOTE E;S/Nº;PLL 01;TAGUATINGA;72150-770;GASOLINA;03/10/2022;4,89;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO CAPITAL LTDA.; 08.978.109/0001-00;LOCALIDADE CNL 01 LOTE E;S/Nº;PLL 01;TAGUATINGA;72150-770;ETANOL;03/10/2022;3,28;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO CAPITAL LTDA.; 08.978.109/0001-00;LOCALIDADE CNL 01 LOTE E;S/Nº;PLL 01;TAGUATINGA;72150-770;GASOLINA ADITIVADA;03/10/2022;5,11;;R$ / litro;RAIZEN
CO;DF;BRASILIA;J PESSOA DERIVADOS DE PETROLEO LTDA; 07.129.196/0001-68;QUADRA QNL 23 CONJUNTO J LOTE;17;;TAGUATINGA;72152-310;GASOLINA;03/10/2022;4,89;;R$ / litro;BRANCA
CO;DF;BRASILIA;J PESSOA DERIVADOS DE PETROLEO LTDA; 07.129.196/0001-68;QUADRA QNL 23 CONJUNTO J LOTE;17;;TAGUATINGA;72152-310;ETANOL;03/10/2022;3,19;;R$ / litro;BRANCA
CO;DF;BRASILIA;J PESSOA DERIVADOS DE PETROLEO LTDA; 07.129.196/0001-68;QUADRA QNL 23 CONJUNTO J LOTE;17;;TAGUATINGA;72152-310;GASOLINA ADITIVADA;03/10/2022;4,89;;R$ / litro;BRANCA
CO;DF;BRASILIA;BANTA COMERCIO DE COMBUSTIVEIS LTDA; 07.917.405/0001-38;AREA ADE CONJUNTO 23;LT 35;E 36;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);71990-180;GASOLINA;03/10/2022;4,89;;R$ / litro;RAIZEN
CO;DF;BRASILIA;BANTA COMERCIO DE COMBUSTIVEIS LTDA; 07.917.405/0001-38;AREA ADE CONJUNTO 23;LT 35;E 36;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);71990-180;ETANOL;03/10/2022;3,59;;R$ / litro;RAIZEN
CO;DF;BRASILIA;BANTA COMERCIO DE COMBUSTIVEIS LTDA; 07.917.405/0001-38;AREA ADE CONJUNTO 23;LT 35;E 36;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);71990-180;GASOLINA ADITIVADA;03/10/2022;5,09;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO QS 09 EIRELI; 05.959.931/0001-35; QS 09 RUA 123 LOTES;24E 26;;AGUAS CLARAS;71920-540;GASOLINA;03/10/2022;4,89;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO QS 09 EIRELI; 05.959.931/0001-35; QS 09 RUA 123 LOTES;24E 26;;AGUAS CLARAS;71920-540;ETANOL;03/10/2022;3,59;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO QS 09 EIRELI; 05.959.931/0001-35; QS 09 RUA 123 LOTES;24E 26;;AGUAS CLARAS;71920-540;GASOLINA ADITIVADA;03/10/2022;5,14;;R$ / litro;RAIZEN
